AERONET_Site,DateTime,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm
GSFC,2025-01-01 13:26:30,1,1.560069,0.002315,0.008814,0.010629,0.014921,0.021448,0.02442,0.02575,0.025762,1.023872,0.000274,0.000175,0.000115,0.000136,0.000238,0.000141,0.000203,0.000611,0.014222,1.224343,0.657355,1.160602,1.264879,0.21453,lev15,1210,GSFC,38.9925,-76.839833,87.0,81.077082,6.206457,8.4,307.877755,0.459006,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:28:30,1,1.561458,0.002469,0.008901,0.010807,0.015096,0.02151,0.024422,0.025628,0.025568,1.024509,0.000216,8.8e-05,0.000401,6.6e-05,0.000106,0.000156,0.000183,0.000704,0.00705,1.199507,0.629446,1.133191,1.24012,0.184788,lev15,1210,GSFC,38.9925,-76.839833,87.0,80.780126,6.022257,8.5,307.878798,0.459005,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:31:30,1,1.563542,0.00242,0.00881,0.010639,0.015003,0.021521,0.02452,0.025671,0.025929,1.016796,0.000181,0.000227,0.00019,0.000102,0.000166,3.7e-05,0.00044,0.000422,0.004701,1.227425,0.633233,1.156673,1.268909,0.220799,lev15,1210,GSFC,38.9925,-76.839833,87.0,80.337227,5.766672,8.5,307.880361,0.459003,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:33:30,1,1.564931,0.00233,0.008722,0.01058,0.014976,0.021562,0.024658,0.025719,0.026005,1.015129,7e-05,0.000173,5.9e-05,0.000187,0.000683,0.000655,0.001287,0.00082,0.00316,1.243088,0.63237,1.17322,1.282524,0.209556,lev15,1210,GSFC,38.9925,-76.839833,87.0,80.043701,5.608752,8.5,307.881403,0.459002,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:36:30,1,1.567014,0.002478,0.00888,0.010636,0.014965,0.021232,0.024174,0.025015,0.02523,1.008834,0.000372,0.000999,0.000382,0.000324,0.00027,0.000304,0.000684,0.000626,0.006706,1.204574,0.587289,1.127759,1.244696,0.168595,lev15,1210,GSFC,38.9925,-76.839833,87.0,79.606103,5.388579,8.5,307.882967,0.459,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:38:42,1,1.568542,0.002402,0.008687,0.010438,0.01474,0.020947,0.023768,0.024641,0.02489,1.010263,0.000289,0.000168,0.000357,0.000593,0.000721,0.000639,0.000301,0.000578,0.010216,1.208485,0.582206,1.125259,1.254104,0.18168,lev15,1210,GSFC,38.9925,-76.839833,87.0,79.287302,5.238665,8.8,307.884113,0.458998,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:41:30,1,1.570486,0.00245,0.00868,0.010445,0.014739,0.020737,0.023538,0.02419,0.024542,1.010464,0.00052,0.000358,0.000331,0.000151,0.000242,0.000304,0.000105,0.000374,0.009819,1.190463,0.550889,1.100909,1.23433,0.1627,lev15,1210,GSFC,38.9925,-76.839833,87.0,78.884199,5.060574,8.8,307.885572,0.458996,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:46:04,1,1.573657,0.002481,0.008489,0.01042,0.014615,0.020496,0.023145,0.023468,0.023891,1.000942,0.000298,0.000284,0.000309,0.000363,0.000458,0.000307,0.00039,0.000337,0.00519,1.171096,0.482414,1.082836,1.21768,0.121082,lev15,1210,GSFC,38.9925,-76.839833,87.0,78.2333,4.797158,8.9,307.887952,0.458993,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:51:30,1,1.577431,0.002547,0.008554,0.010423,0.014757,0.020569,0.02296,0.023341,0.023358,0.993948,0.000628,0.000419,0.000301,0.000233,0.000381,0.000408,0.000744,0.000115,0.005321,1.160172,0.451163,1.045312,1.222793,0.06864,lev15,1210,GSFC,38.9925,-76.839833,87.0,77.469829,4.521136,9.2,307.890783,0.45899,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 13:55:20,1,1.580093,0.002581,0.008457,0.010338,0.014608,0.020313,0.022774,0.022908,0.023066,0.998541,0.000214,0.00017,0.000442,0.000363,0.000672,0.000602,0.000575,0.000605,0.005832,1.15824,0.427201,1.047703,1.215004,0.048735,lev15,1210,GSFC,38.9925,-76.839833,87.0,76.938614,4.347179,9.4,307.892781,0.458987,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:01:30,1,1.584375,0.002709,0.008391,0.010302,0.014586,0.020289,0.022905,0.023243,0.023219,1.008843,0.00064,0.000501,0.00053,0.000759,0.00071,0.000908,0.000427,0.000203,0.007555,1.169076,0.484468,1.061861,1.219091,0.054921,lev15,1210,GSFC,38.9925,-76.839833,87.0,76.097447,4.097752,9.7,307.895994,0.458983,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:06:30,1,1.587847,0.002978,0.008449,0.01049,0.014561,0.020356,0.023006,0.023235,0.02329,1.00288,0.000393,0.000238,0.000298,0.000285,0.000692,0.000502,0.000345,0.000817,0.008489,1.152747,0.470673,1.076505,1.193681,0.048491,lev15,1210,GSFC,38.9925,-76.839833,87.0,75.427981,3.919046,9.9,307.8986,0.45898,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:08:31,1,1.589248,0.002725,0.008559,0.01037,0.014785,0.020889,0.023621,0.02374,0.023958,1.010042,0.00033,0.000247,0.000369,0.000412,0.000291,0.000467,0.000585,0.000497,0.004864,1.2072,0.454507,1.104183,1.260003,0.053593,lev15,1210,GSFC,38.9925,-76.839833,87.0,75.161241,3.852184,10.1,307.899651,0.458978,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:19:11,1,1.596655,0.002899,0.00878,0.010269,0.014464,0.020038,0.022341,0.022139,0.021857,1.007673,0.000696,0.000946,0.000259,0.000343,0.000432,0.000354,0.000122,0.000347,0.004519,1.141364,0.351928,1.027799,1.202413,-0.083457,lev15,1210,GSFC,38.9925,-76.839833,87.0,73.782928,3.540772,10.2,307.905209,0.458971,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:46:31,1,1.615637,0.003048,0.008077,0.010363,0.014264,0.019969,0.022046,0.021609,0.021224,0.985999,0.000711,0.000927,0.001034,0.001226,0.000433,0.000578,0.001136,0.001214,0.001477,1.11836,0.276378,1.035236,1.18153,-0.146126,lev15,1210,GSFC,38.9925,-76.839833,87.0,70.521653,2.976475,10.6,307.919453,0.458953,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:51:31,1,1.619109,0.002947,0.007821,0.010183,0.014261,0.020004,0.022686,0.022321,0.021957,0.978489,0.000328,0.000678,0.000122,0.000122,0.001024,0.001578,0.002424,0.001935,0.000929,1.174141,0.385668,1.091525,1.215439,-0.125312,lev15,1210,GSFC,38.9925,-76.839833,87.0,69.970772,2.899135,10.7,307.922058,0.458949,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 14:56:31,1,1.622581,0.003127,0.008386,0.010655,0.015938,0.025048,0.026597,0.02572,0.024093,0.995705,4.5e-05,0.000644,0.000216,0.002199,0.010673,0.005916,0.005315,0.002257,0.027459,1.387385,0.087839,1.251258,1.541138,-0.373801,lev15,1210,GSFC,38.9925,-76.839833,87.0,69.434926,2.827874,10.9,307.924664,0.458946,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 16:31:31,1,1.688553,0.003926,0.008656,0.010949,0.014585,0.020211,0.022883,0.027155,0.022744,0.855261,0.000937,0.000466,0.001138,0.00084,0.002131,0.001632,0.019603,0.009497,0.004946,1.084997,1.077141,1.057857,1.105442,0.038134,lev15,1210,GSFC,38.9925,-76.839833,87.0,62.588418,2.164516,11.0,307.974169,0.458882,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 17:56:31,1,1.747581,0.003965,0.007922,0.010565,0.013842,0.018054,0.020129,0.017773,0.015719,0.704976,0.000263,0.000826,0.000777,0.000689,0.001078,0.00148,0.001489,0.000931,0.015132,0.940454,-0.077481,0.876234,0.964253,-0.949302,lev15,1210,GSFC,38.9925,-76.839833,87.0,62.796152,2.179637,11.9,308.018463,0.458825,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 18:01:31,1,1.751053,0.003997,0.00825,0.011488,0.01399,0.01822,0.020215,0.018589,0.016371,0.71886,0.001052,0.000787,0.002392,0.000964,0.001115,0.001149,0.000303,0.001128,0.005344,0.835762,0.056264,0.86302,0.833668,-0.801872,lev15,1210,GSFC,38.9925,-76.839833,87.0,63.003803,2.194992,12.2,308.021069,0.458822,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-01 18:06:31,1,1.754525,0.004013,0.008458,0.010635,0.01411,0.018969,0.021189,0.020299,0.018696,0.737239,0.000972,0.000473,0.001028,0.000165,0.001025,0.001184,0.001132,0.000484,0.003788,1.011945,0.23266,0.955834,1.042289,-0.473487,lev15,1210,GSFC,38.9925,-76.839833,87.0,63.232359,2.212177,12.4,308.023674,0.458818,05:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:26:57,2,2.560382,0.003024,0.010423,0.01356,0.020806,0.030397,0.035351,0.039238,0.041979,0.399931,0.000246,0.00026,0.000256,0.000213,0.000344,0.000374,0.000274,0.000389,0.004789,1.393629,0.923413,1.242145,1.450465,0.665894,lev15,1210,GSFC,38.9925,-76.839833,87.0,81.011461,6.164808,3.4,308.628385,0.458038,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:28:57,2,2.561771,0.003216,0.010782,0.013738,0.020954,0.030468,0.035407,0.039317,0.042244,0.400376,0.000156,0.000182,0.000293,0.000412,0.000508,0.000715,0.000596,0.001127,0.005913,1.376691,0.922373,1.22875,1.431365,0.683374,lev15,1210,GSFC,38.9925,-76.839833,87.0,80.714189,5.982805,3.6,308.629427,0.458037,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:31:57,2,2.563854,0.003141,0.010741,0.013642,0.02103,0.030672,0.035754,0.039381,0.04219,0.40483,0.000273,0.000278,0.000209,0.000155,0.000167,0.000223,0.000163,0.001011,0.003864,1.399469,0.903101,1.242321,1.455575,0.640054,lev15,1210,GSFC,38.9925,-76.839833,87.0,80.27082,5.730182,3.7,308.630991,0.458035,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:33:56,2,2.565231,0.003252,0.010829,0.013776,0.021167,0.030928,0.036191,0.039745,0.042715,0.406968,0.0002,0.000189,4.1e-05,0.000116,0.000236,0.000371,0.000568,0.000319,0.002591,1.402452,0.90577,1.25425,1.453114,0.63984,lev15,1210,GSFC,38.9925,-76.839833,87.0,79.979426,5.575305,3.8,308.632024,0.458034,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:36:57,2,2.567326,0.003363,0.011019,0.013876,0.02139,0.031428,0.036727,0.040474,0.043705,0.413406,0.000146,0.00023,0.000144,0.000123,0.000153,0.000418,0.000361,0.000301,0.004419,1.414991,0.913953,1.265601,1.469105,0.671081,lev15,1210,GSFC,38.9925,-76.839833,87.0,79.538921,5.356284,3.9,308.633596,0.458032,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:38:56,2,2.568704,0.003299,0.011067,0.013933,0.021579,0.031794,0.037132,0.04087,0.044205,0.41698,8.9e-05,0.000119,4.6e-05,0.000117,0.000325,0.000533,0.000457,0.000942,0.003468,1.42535,0.907192,1.271453,1.482443,0.672197,lev15,1210,GSFC,38.9925,-76.839833,87.0,79.251131,5.222178,4.1,308.63463,0.45803,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:41:57,2,2.570799,0.003342,0.010963,0.013883,0.021466,0.031739,0.037233,0.040926,0.044122,0.418369,0.000364,0.00025,0.000144,0.0002,0.000198,0.000265,0.000556,0.000438,0.005454,1.434199,0.91792,1.288791,1.486071,0.654869,lev15,1210,GSFC,38.9925,-76.839833,87.0,78.816248,5.031733,4.1,308.636202,0.458028,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:46:04,2,2.573657,0.00364,0.011177,0.01419,0.021917,0.032318,0.037884,0.04166,0.044954,0.423275,0.000136,8.9e-05,0.000228,0.000461,0.000599,0.000541,0.000825,0.001339,0.004846,1.427263,0.916864,1.280569,1.479231,0.660033,lev15,1210,GSFC,38.9925,-76.839833,87.0,78.228492,4.795314,4.2,308.638347,0.458025,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:51:57,2,2.577743,0.003654,0.011123,0.014154,0.021865,0.032091,0.037695,0.041099,0.044327,0.423263,0.000166,0.000197,0.000117,0.000172,0.000168,0.000202,0.000282,0.000219,0.00315,1.421598,0.89229,1.272726,1.470895,0.623834,lev15,1210,GSFC,38.9925,-76.839833,87.0,77.400352,4.497592,4.6,308.641413,0.458022,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 13:55:19,2,2.580081,0.003805,0.011274,0.014296,0.022023,0.032419,0.038134,0.041586,0.044765,0.428958,0.000282,0.000286,0.00023,0.000649,0.00068,0.001179,0.000751,0.000553,0.005427,1.42458,0.898094,1.28292,1.471422,0.617502,lev15,1210,GSFC,38.9925,-76.839833,87.0,76.932959,4.3454,4.9,308.643167,0.458019,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 14:01:57,2,2.584688,0.004117,0.01185,0.015123,0.023551,0.035089,0.041437,0.045579,0.049451,0.444508,6.4e-05,0.000309,8.8e-05,0.000176,0.000202,0.000224,0.00067,0.000542,0.001051,1.464349,0.944027,1.320709,1.51283,0.680897,lev15,1210,GSFC,38.9925,-76.839833,87.0,76.026453,4.078019,5.2,308.646624,0.458015,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
GSFC,2025-01-02 14:06:57,2,2.58816,0.004688,0.012591,0.016235,0.025212,0.03794,0.044974,0.050219,0.054417,0.451266,0.000377,0.000563,0.000576,0.001119,0.002049,0.002814,0.003014,0.002981,0.008586,1.482136,1.013451,1.353061,1.526263,0.736661,lev15,1210,GSFC,38.9925,-76.839833,87.0,75.356231,3.900829,5.4,308.649229,0.458011,06:01:2025,9,1.6392,1.0198,0.8701,0.6753,0.4999,0.4401,0.3798,0.3397,0.9372
