AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Pawan_Gupta_and_Elena_Lind; PI Email=pawan.gupta@nasa.gov_and_elena.lind@nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
GSFC,01:01:2025,13:26:30,1,1.560069,0.002315,0.008814,0.010629,-999.000000,-999.000000,0.014921,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.021448,-999.000000,-999.000000,0.024420,-999.000000,-999.000000,0.025750,0.025762,1.023872,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000274,0.000175,0.000115,-999.000000,-999.000000,0.000136,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000238,-999.000000,-999.000000,0.000141,-999.000000,-999.000000,0.000203,0.000611,0.014222,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.224343,0.657355,1.160602,1.264879,0.214530,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,81.077082,6.206457,8.400000,307.877755,0.459006,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:28:30,1,1.561458,0.002469,0.008901,0.010807,-999.000000,-999.000000,0.015096,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.021510,-999.000000,-999.000000,0.024422,-999.000000,-999.000000,0.025628,0.025568,1.024509,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000216,0.000088,0.000401,-999.000000,-999.000000,0.000066,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000106,-999.000000,-999.000000,0.000156,-999.000000,-999.000000,0.000183,0.000704,0.007050,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.199507,0.629446,1.133191,1.240120,0.184788,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,80.780126,6.022257,8.500000,307.878798,0.459005,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:31:30,1,1.563542,0.002420,0.008810,0.010639,-999.000000,-999.000000,0.015003,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.021521,-999.000000,-999.000000,0.024520,-999.000000,-999.000000,0.025671,0.025929,1.016796,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000181,0.000227,0.000190,-999.000000,-999.000000,0.000102,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000166,-999.000000,-999.000000,0.000037,-999.000000,-999.000000,0.000440,0.000422,0.004701,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.227425,0.633233,1.156673,1.268909,0.220799,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,80.337227,5.766672,8.500000,307.880361,0.459003,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:33:30,1,1.564931,0.002330,0.008722,0.010580,-999.000000,-999.000000,0.014976,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.021562,-999.000000,-999.000000,0.024658,-999.000000,-999.000000,0.025719,0.026005,1.015129,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000070,0.000173,0.000059,-999.000000,-999.000000,0.000187,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000683,-999.000000,-999.000000,0.000655,-999.000000,-999.000000,0.001287,0.000820,0.003160,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.243088,0.632370,1.173220,1.282524,0.209556,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,80.043701,5.608752,8.500000,307.881403,0.459002,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:36:30,1,1.567014,0.002478,0.008880,0.010636,-999.000000,-999.000000,0.014965,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.021232,-999.000000,-999.000000,0.024174,-999.000000,-999.000000,0.025015,0.025230,1.008834,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000372,0.000999,0.000382,-999.000000,-999.000000,0.000324,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000270,-999.000000,-999.000000,0.000304,-999.000000,-999.000000,0.000684,0.000626,0.006706,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.204574,0.587289,1.127759,1.244696,0.168595,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,79.606103,5.388579,8.500000,307.882967,0.459000,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:38:42,1,1.568542,0.002402,0.008687,0.010438,-999.000000,-999.000000,0.014740,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020947,-999.000000,-999.000000,0.023768,-999.000000,-999.000000,0.024641,0.024890,1.010263,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000289,0.000168,0.000357,-999.000000,-999.000000,0.000593,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000721,-999.000000,-999.000000,0.000639,-999.000000,-999.000000,0.000301,0.000578,0.010216,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.208485,0.582206,1.125259,1.254104,0.181680,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,79.287302,5.238665,8.800000,307.884113,0.458998,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:41:30,1,1.570486,0.002450,0.008680,0.010445,-999.000000,-999.000000,0.014739,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020737,-999.000000,-999.000000,0.023538,-999.000000,-999.000000,0.024190,0.024542,1.010464,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000520,0.000358,0.000331,-999.000000,-999.000000,0.000151,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000242,-999.000000,-999.000000,0.000304,-999.000000,-999.000000,0.000105,0.000374,0.009819,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.190463,0.550889,1.100909,1.234330,0.162700,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,78.884199,5.060574,8.800000,307.885572,0.458996,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:46:04,1,1.573657,0.002481,0.008489,0.010420,-999.000000,-999.000000,0.014615,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020496,-999.000000,-999.000000,0.023145,-999.000000,-999.000000,0.023468,0.023891,1.000942,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000298,0.000284,0.000309,-999.000000,-999.000000,0.000363,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000458,-999.000000,-999.000000,0.000307,-999.000000,-999.000000,0.000390,0.000337,0.005190,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.171096,0.482414,1.082836,1.217680,0.121082,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,78.233300,4.797158,8.900000,307.887952,0.458993,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:51:30,1,1.577431,0.002547,0.008554,0.010423,-999.000000,-999.000000,0.014757,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020569,-999.000000,-999.000000,0.022960,-999.000000,-999.000000,0.023341,0.023358,0.993948,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000628,0.000419,0.000301,-999.000000,-999.000000,0.000233,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000381,-999.000000,-999.000000,0.000408,-999.000000,-999.000000,0.000744,0.000115,0.005321,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.160172,0.451163,1.045312,1.222793,0.068640,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,77.469829,4.521136,9.200000,307.890783,0.458990,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,13:55:20,1,1.580093,0.002581,0.008457,0.010338,-999.000000,-999.000000,0.014608,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020313,-999.000000,-999.000000,0.022774,-999.000000,-999.000000,0.022908,0.023066,0.998541,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000214,0.000170,0.000442,-999.000000,-999.000000,0.000363,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000672,-999.000000,-999.000000,0.000602,-999.000000,-999.000000,0.000575,0.000605,0.005832,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.158240,0.427201,1.047703,1.215004,0.048735,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,76.938614,4.347179,9.400000,307.892781,0.458987,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,14:01:30,1,1.584375,0.002709,0.008391,0.010302,-999.000000,-999.000000,0.014586,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020289,-999.000000,-999.000000,0.022905,-999.000000,-999.000000,0.023243,0.023219,1.008843,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000640,0.000501,0.000530,-999.000000,-999.000000,0.000759,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000710,-999.000000,-999.000000,0.000908,-999.000000,-999.000000,0.000427,0.000203,0.007555,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.169076,0.484468,1.061861,1.219091,0.054921,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,76.097447,4.097752,9.700000,307.895994,0.458983,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,14:06:30,1,1.587847,0.002978,0.008449,0.010490,-999.000000,-999.000000,0.014561,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020356,-999.000000,-999.000000,0.023006,-999.000000,-999.000000,0.023235,0.023290,1.002880,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000393,0.000238,0.000298,-999.000000,-999.000000,0.000285,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000692,-999.000000,-999.000000,0.000502,-999.000000,-999.000000,0.000345,0.000817,0.008489,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.152747,0.470673,1.076505,1.193681,0.048491,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,75.427981,3.919046,9.900000,307.898600,0.458980,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,14:08:31,1,1.589248,0.002725,0.008559,0.010370,-999.000000,-999.000000,0.014785,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020889,-999.000000,-999.000000,0.023621,-999.000000,-999.000000,0.023740,0.023958,1.010042,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000330,0.000247,0.000369,-999.000000,-999.000000,0.000412,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000291,-999.000000,-999.000000,0.000467,-999.000000,-999.000000,0.000585,0.000497,0.004864,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.207200,0.454507,1.104183,1.260003,0.053593,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,75.161241,3.852184,10.100000,307.899651,0.458978,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
GSFC,01:01:2025,14:19:11,1,1.596655,0.002899,0.008780,0.010269,-999.000000,-999.000000,0.014464,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.020038,-999.000000,-999.000000,0.022341,-999.000000,-999.000000,0.022139,0.021857,1.007673,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000696,0.000946,0.000259,-999.000000,-999.000000,0.000343,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000432,-999.000000,-999.000000,0.000354,-999.000000,-999.000000,0.000122,0.000347,0.004519,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.141364,0.351928,1.027799,1.202413,-0.083457,-999.000000,lev15,1210,GSFC,38.992500,-76.839833,87.000000,73.782928,3.540772,10.200000,307.905209,0.458971,05:01:2025,9,1.639200,1.019800,0.870100,-999.,-999.,0.675300,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.440100,-999.,-999.,0.379800,0.339700,0.937200,-999.,-999.,-999.,-999.,-999.,-999.,-999.
