AERONET_Site,DateTime,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm
Howard_Univ-IRB,2025-01-28 20:11:48,28,28.841528,0.020997,0.029017,0.033736,0.043909,0.063406,0.075639,0.088835,0.100209,0.814946,0.000984,0.000938,0.000558,0.000762,0.000488,0.001621,0.00127,0.001834,0.005171,1.182527,1.223049,1.259834,1.141149,1.0916,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,69.442318,2.828832,14.8,322.519187,0.444651,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 20:16:48,28,28.845,0.047608,0.051556,0.055393,0.063987,0.081769,0.092886,0.105104,0.115982,0.815797,0.004003,0.003414,0.002991,0.002553,0.001251,0.002465,0.002211,0.003968,0.008868,0.758039,0.911155,0.859442,0.706157,0.860576,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,70.115805,2.919082,14.7,322.520458,0.444653,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 20:31:35,28,28.855266,0.019628,0.028202,0.032315,0.042374,0.060911,0.072095,0.086084,0.097756,0.80036,0.000267,0.000791,0.000895,0.000808,0.001632,0.001481,0.001714,0.002839,0.002414,1.175785,1.256581,1.233385,1.14572,1.182861,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,72.178344,3.23767,14.4,322.524218,0.44466,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 20:36:47,28,28.858877,0.023602,0.031997,0.035918,0.045972,0.065038,0.076486,0.09066,0.102718,0.800681,0.004011,0.003145,0.003433,0.002753,0.002928,0.002947,0.002982,0.002917,0.012206,1.108969,1.206491,1.181074,1.073904,1.1449,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,72.927731,3.372262,14.2,322.52554,0.444662,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 20:46:47,28,28.865822,0.021091,0.029429,0.033717,0.044071,0.063229,0.074827,0.089395,0.102098,0.804959,0.000716,0.000497,0.001294,0.000851,0.000577,0.000668,0.000794,0.001124,0.005777,1.168042,1.258014,1.228268,1.13657,1.206028,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,74.401396,3.673882,14.1,322.528083,0.444666,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 20:48:48,28,28.867222,0.020888,0.029471,0.033244,0.043527,0.062874,0.073888,0.088572,0.100558,0.802877,0.000445,0.000673,0.00098,0.000863,0.00118,0.001553,0.000913,0.001289,0.010243,1.174457,1.245768,1.231906,1.15214,1.1978,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,74.703555,3.742725,14.2,322.528596,0.444667,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 21:03:35,28,28.877488,0.019356,0.028083,0.031751,0.041748,0.059681,0.070631,0.084917,0.097752,0.794383,0.00135,0.001112,0.001298,0.001776,0.0019,0.002665,0.002866,0.003749,0.012944,1.169649,1.281679,1.219317,1.140278,1.260582,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,76.966075,4.355841,13.8,322.532355,0.444673,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 21:06:47,28,28.879711,0.018959,0.02749,0.031129,0.040789,0.05838,0.068685,0.082925,0.095582,0.793695,0.000817,0.000469,0.000468,0.000418,0.000748,0.001387,0.001961,0.002428,0.009295,1.160703,1.276296,1.211053,1.136473,1.282233,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,77.466227,4.519909,13.6,322.533169,0.444675,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 21:11:07,28,28.88272,0.019464,0.027694,0.031302,0.040728,0.057594,0.067566,0.08115,0.093627,0.789807,0.000659,0.000468,0.000228,0.000213,0.000374,0.000131,0.000303,0.000667,0.00645,1.127197,1.246773,1.175246,1.101809,1.264847,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,78.149027,4.765043,13.6,322.534271,0.444677,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
Howard_Univ-IRB,2025-01-28 21:16:47,28,28.886655,0.024419,0.031814,0.035153,0.044072,0.060345,0.069998,0.083369,0.0956,0.793107,0.001594,0.001397,0.001166,0.001044,0.00074,0.000861,0.000989,0.001061,0.007717,1.009554,1.175522,1.072711,0.977199,1.208437,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.0,79.051061,5.132812,13.5,322.535712,0.444679,01:02:2025,9,1.6403,1.0197,0.8701,0.6752,0.4999,0.4397,0.3797,0.3398,0.9367
