AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Sen_Chiao; PI Email=sen.chiao@howard.edu
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
Howard_Univ-IRB,01:03:2021,18:56:43,60,60.789387,0.074765,0.090101,0.101307,-999.000000,-999.000000,0.121203,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.163369,-999.000000,-999.000000,0.185419,-999.000000,-999.000000,-999.000000,-999.000000,1.395952,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.004052,0.005503,0.005487,-999.000000,-999.000000,0.009987,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.011925,-999.000000,-999.000000,0.010349,-999.000000,-999.000000,-999.000000,-999.000000,0.117721,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.896397,0.986673,0.991568,0.866254,-999.000000,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,51.310115,1.597161,16.900000,337.372710,0.447021,20:12:2024,7,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,-999.,-999.,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,19:01:43,60,60.792859,0.067626,0.082806,0.094896,-999.000000,-999.000000,0.114097,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.144799,-999.000000,-999.000000,0.169270,-999.000000,-999.000000,0.197340,0.204193,1.340370,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003811,0.005746,0.015936,-999.000000,-999.000000,0.020391,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.009739,-999.000000,-999.000000,0.011523,-999.000000,-999.000000,0.012322,0.008077,0.036577,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.830402,1.123749,0.897047,0.763403,0.744359,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,51.823621,1.615222,17.000000,337.374637,0.447019,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:16:42,60,60.844931,0.088168,0.107024,0.115075,-999.000000,-999.000000,0.131928,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.170261,-999.000000,-999.000000,0.189930,-999.000000,-999.000000,0.224082,0.240893,1.345376,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001170,0.005258,0.006112,-999.000000,-999.000000,0.011457,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.026407,-999.000000,-999.000000,0.022195,-999.000000,-999.000000,0.045407,0.075531,0.072084,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.745311,1.001788,0.849396,0.711215,0.932939,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,61.622526,2.097216,16.700000,337.403522,0.446987,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:21:42,60,60.848403,0.094077,0.106777,0.115026,-999.000000,-999.000000,0.129209,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.179449,-999.000000,-999.000000,0.192915,-999.000000,-999.000000,0.201755,0.210500,1.344243,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.011753,0.008767,0.011188,-999.000000,-999.000000,0.007318,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.051091,-999.000000,-999.000000,0.032528,-999.000000,-999.000000,0.008746,0.012081,0.054090,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.805636,0.423140,0.962663,0.811355,0.336746,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,62.389274,2.150241,17.000000,337.405448,0.446985,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:30:52,60,60.854769,0.089094,0.102995,0.109905,-999.000000,-999.000000,0.121832,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.152524,-999.000000,-999.000000,0.170783,-999.000000,-999.000000,0.197150,0.206854,1.333420,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.007557,0.006481,0.007477,-999.000000,-999.000000,0.009405,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.012119,-999.000000,-999.000000,0.011247,-999.000000,-999.000000,0.013461,0.015021,0.064527,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.651990,0.934221,0.780323,0.596089,0.755746,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,63.823675,2.258073,17.300000,337.408979,0.446981,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:40:24,60,60.861389,0.103617,0.120024,0.126021,-999.000000,-999.000000,0.136917,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.164515,-999.000000,-999.000000,0.182406,-999.000000,-999.000000,0.206565,0.216573,1.317064,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001270,0.001015,0.001289,-999.000000,-999.000000,0.001931,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001725,-999.000000,-999.000000,0.001086,-999.000000,-999.000000,0.002603,0.003148,0.022489,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.543069,0.828084,0.658472,0.484946,0.675652,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,65.352281,2.387202,17.400000,337.412652,0.446977,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:42:22,60,60.862755,0.104143,0.120740,0.126641,-999.000000,-999.000000,0.138566,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.167787,-999.000000,-999.000000,0.186560,-999.000000,-999.000000,0.210854,0.220572,1.348274,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.006351,0.007007,0.005150,-999.000000,-999.000000,0.003508,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003536,-999.000000,-999.000000,0.002999,-999.000000,-999.000000,0.001692,0.001585,0.032729,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.568962,0.830825,0.683264,0.511585,0.659423,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,65.672022,2.416311,17.400000,337.413410,0.446976,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,20:46:42,60,60.865764,0.102567,0.119347,0.126125,-999.000000,-999.000000,0.137872,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.168359,-999.000000,-999.000000,0.185669,-999.000000,-999.000000,0.211322,0.221718,1.354999,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002691,0.001045,0.001850,-999.000000,-999.000000,0.001456,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.002632,-999.000000,-999.000000,0.000425,-999.000000,-999.000000,0.003932,0.003515,0.014486,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.573409,0.827739,0.688699,0.525545,0.698571,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,66.381602,2.483778,17.200000,337.415079,0.446974,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,21:01:08,60,60.875787,0.120632,0.141703,0.148254,-999.000000,-999.000000,0.169964,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.202311,-999.000000,-999.000000,0.228141,-999.000000,-999.000000,0.248096,0.261943,1.367282,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.007624,0.015069,0.007898,-999.000000,-999.000000,0.030039,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.029045,-999.000000,-999.000000,0.045847,-999.000000,-999.000000,0.029874,0.034475,0.062368,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.616257,0.737726,0.667316,0.561519,0.537922,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,68.792297,2.747165,17.100000,337.420639,0.446968,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
Howard_Univ-IRB,01:03:2021,21:29:19,60,60.895359,0.121545,0.143040,0.150880,-999.000000,-999.000000,0.165945,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.204679,-999.000000,-999.000000,0.220860,-999.000000,-999.000000,0.253231,0.261639,1.376514,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003418,0.004369,0.007380,-999.000000,-999.000000,0.011637,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.033858,-999.000000,-999.000000,0.024633,-999.000000,-999.000000,0.047902,0.031870,0.189846,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.575006,0.777724,0.672091,0.554776,0.671756,-999.000000,lev15,1282,Howard_Univ-IRB,38.919424,-77.021542,78.000000,73.681119,3.519804,16.100000,337.431496,0.446956,20:12:2024,9,1.640300,1.019700,0.870100,-999.,-999.,0.675200,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.499900,-999.,-999.,0.439700,-999.,-999.,0.379700,0.339800,0.936700,-999.,-999.,-999.,-999.,-999.,-999.,-999.
