AERONET_Site,DateTime,Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_675nm,AOD_500nm,AOD_440nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_675,Triplet_Variability_500,Triplet_Variability_440,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm
SERC,2021-01-07 13:23:01,7,7.55765,0.007459,0.017831,0.023788,0.036683,0.058775,0.070068,0.081275,0.094533,0.524231,7.1e-05,0.000114,0.000257,0.000203,0.000377,0.000549,0.00042,0.002357,0.00362,1.592126,1.172921,1.526365,1.634732,1.144482,lev15,599,SERC,38.888901,-76.555795,36.5,81.284276,6.341656,2.3,311.660173,0.458643,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:25:47,7,7.559572,0.007756,0.017989,0.023865,0.036841,0.058898,0.070165,0.081109,0.093638,0.525528,0.000132,0.00026,0.000271,0.000222,0.000194,0.000469,0.000531,0.001638,0.003572,1.588942,1.157656,1.519472,1.632555,1.103522,lev15,599,SERC,38.888901,-76.555795,36.5,80.865558,6.074141,2.5,311.661598,0.45864,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:28:01,7,7.561123,0.007874,0.017847,0.023649,0.036451,0.058022,0.069096,0.079499,0.09078,0.520608,0.000225,0.000284,0.000514,0.000711,0.001322,0.001718,0.002623,0.003363,0.00504,1.578864,1.138942,1.507764,1.621757,1.044796,lev15,599,SERC,38.888901,-76.555795,36.5,80.529352,5.874871,2.7,311.662749,0.458639,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:30:42,7,7.562986,0.007798,0.017288,0.022858,0.035101,0.055884,0.066512,0.076481,0.086322,0.514778,0.000345,0.000359,0.000505,0.000359,0.000633,0.000654,0.000466,0.000663,0.002307,1.57361,1.134791,1.50714,1.615546,0.999928,lev15,599,SERC,38.888901,-76.555795,36.5,80.1276,5.653013,2.8,311.664131,0.458637,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:33:01,7,7.564595,0.007928,0.017229,0.02266,0.034634,0.05518,0.065676,0.075257,0.084917,0.514594,0.000207,0.000354,0.000216,0.000488,0.001015,0.001119,0.001389,0.001306,0.004985,1.568696,1.12193,1.509033,1.608657,0.984972,lev15,599,SERC,38.888901,-76.555795,36.5,79.782734,5.475357,2.9,311.665324,0.458635,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:36:36,7,7.567083,0.007749,0.01618,0.021413,0.03259,0.051537,0.061321,0.069666,0.077505,0.511877,0.000237,0.000351,0.00022,0.000296,0.000237,0.000573,0.000538,0.00108,0.005329,1.549696,1.088921,1.489604,1.587409,0.899107,lev15,599,SERC,38.888901,-76.555795,36.5,79.253053,5.223051,3.0,311.66717,0.458632,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:43:01,7,7.571539,0.007512,0.015023,0.020015,0.030497,0.048035,0.057054,0.064451,0.070786,0.501645,0.000356,0.000149,0.000257,0.000285,0.000157,0.000435,0.000286,0.000672,0.001092,1.542298,1.061688,1.476191,1.58198,0.829345,lev15,599,SERC,38.888901,-76.555795,36.5,78.316412,4.829257,3.2,311.670476,0.458627,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:44:54,7,7.572847,0.007485,0.015068,0.019896,0.03023,0.047914,0.056902,0.064408,0.070836,0.504492,0.000135,0.000137,0.000255,0.000475,0.000768,0.001037,0.000749,0.001603,0.005454,1.549358,1.068533,1.49169,1.58868,0.842339,lev15,599,SERC,38.888901,-76.555795,36.5,78.044499,4.725802,3.5,311.671446,0.458625,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:48:02,7,7.575023,0.007458,0.014833,0.019838,0.03031,0.048223,0.057412,0.065006,0.070682,0.500972,0.000184,0.000128,6.4e-05,0.000158,0.000193,0.000319,0.000291,0.000521,0.002993,1.566056,1.078535,1.506056,1.605388,0.801931,lev15,599,SERC,38.888901,-76.555795,36.5,77.595228,4.564264,3.6,311.67306,0.458623,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:52:57,7,7.578437,0.007467,0.014282,0.01918,0.029232,0.046174,0.05509,0.061649,0.06658,0.494875,0.000332,0.000549,0.000751,0.000909,0.001493,0.002145,0.002351,0.002889,0.003435,1.552568,1.042513,1.492009,1.587741,0.730365,lev15,599,SERC,38.888901,-76.555795,36.5,76.898312,4.334531,3.7,311.675593,0.458619,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 13:58:02,7,7.581968,0.007587,0.013881,0.01861,0.028237,0.044479,0.052913,0.058955,0.063073,0.486912,0.000199,0.000205,0.000203,0.000337,0.000277,0.000504,8.5e-05,0.000149,0.001158,1.538521,1.016058,1.479371,1.574668,0.678485,lev15,599,SERC,38.888901,-76.555795,36.5,76.188473,4.123337,3.9,311.678212,0.458614,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 14:03:02,7,7.58544,0.007789,0.013967,0.018744,0.028665,0.045514,0.054325,0.060755,0.064964,0.483757,0.00024,0.000421,0.000534,0.000458,0.000748,0.000848,0.001138,0.000967,0.002718,1.566574,1.041732,1.505859,1.603284,0.691474,lev15,599,SERC,38.888901,-76.555795,36.5,75.501278,3.937835,4.0,311.680788,0.45861,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 14:04:55,7,7.586748,0.007901,0.014186,0.018955,0.028827,0.045855,0.054689,0.06153,0.065537,0.492116,0.000136,0.00029,0.000437,0.0006,0.001219,0.001704,0.001656,0.001996,0.012848,1.561538,1.061131,1.508951,1.596942,0.70124,lev15,599,SERC,38.888901,-76.555795,36.5,75.245344,3.873013,4.2,311.681758,0.458609,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 14:14:13,7,7.593206,0.00803,0.01379,0.018626,0.028507,0.045314,0.054156,0.060204,0.063471,0.476804,1e-05,0.00033,3.6e-05,6.1e-05,0.00043,0.00028,0.00038,0.000437,0.005233,1.571027,1.023997,1.511143,1.606802,0.615939,lev15,599,SERC,38.888901,-76.555795,36.5,74.005726,3.587566,4.6,311.686549,0.458601,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
SERC,2021-01-07 14:16:06,7,7.594514,0.008238,0.014072,0.018711,0.028576,0.045519,0.054568,0.060923,0.064142,0.474734,0.000405,0.000297,0.000499,0.000503,0.000525,0.000805,0.000757,0.000989,0.002402,1.575204,1.050745,1.522364,1.606907,0.628151,lev15,599,SERC,38.888901,-76.555795,36.5,73.759731,3.535972,4.7,311.687519,0.4586,18:06:2023,9,1.6392,1.0194,0.8695,0.6748,0.5003,0.4403,0.3799,0.3395,0.9371
