AERONET Data Download (Version 3 Direct Sun)
AERONET Version 3
Version 3: AOD Level 1.5
The following data are cloud cleared and quality controls have been applied but these data may not have final calibration applied.  These data may change.
Contact: PI=Jay_Herman_and_Maria_Tzortziou_and_Gordon_Labow; PI Email=Jay.R.Herman@nasa.gov_and_martz@carioca.gsfc.nasa.gov_and_Gordon.J.Labow.1@gsfc.nasa.gov
AERONET_Site,Date(dd:mm:yyyy),Time(hh:mm:ss),Day_of_Year,Day_of_Year(Fraction),AOD_1640nm,AOD_1020nm,AOD_870nm,AOD_865nm,AOD_779nm,AOD_675nm,AOD_667nm,AOD_620nm,AOD_560nm,AOD_555nm,AOD_551nm,AOD_532nm,AOD_531nm,AOD_510nm,AOD_500nm,AOD_490nm,AOD_443nm,AOD_440nm,AOD_412nm,AOD_400nm,AOD_380nm,AOD_340nm,Precipitable_Water(cm),AOD_681nm,AOD_709nm,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,AOD_Empty,Triplet_Variability_1640,Triplet_Variability_1020,Triplet_Variability_870,Triplet_Variability_865,Triplet_Variability_779,Triplet_Variability_675,Triplet_Variability_667,Triplet_Variability_620,Triplet_Variability_560,Triplet_Variability_555,Triplet_Variability_551,Triplet_Variability_532,Triplet_Variability_531,Triplet_Variability_510,Triplet_Variability_500,Triplet_Variability_490,Triplet_Variability_443,Triplet_Variability_440,Triplet_Variability_412,Triplet_Variability_400,Triplet_Variability_380,Triplet_Variability_340,Triplet_Variability_Precipitable_Water(cm),Triplet_Variability_681,Triplet_Variability_709,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,Triplet_Variability_AOD_Empty,440-870_Angstrom_Exponent,380-500_Angstrom_Exponent,440-675_Angstrom_Exponent,500-870_Angstrom_Exponent,340-440_Angstrom_Exponent,440-675_Angstrom_Exponent[Polar],Data_Quality_Level,AERONET_Instrument_Number,AERONET_Site_Name,Site_Latitude(Degrees),Site_Longitude(Degrees),Site_Elevation(m),Solar_Zenith_Angle(Degrees),Optical_Air_Mass,Sensor_Temperature(Degrees_C),Ozone(Dobson),NO2(Dobson),Last_Date_Processed,Number_of_Wavelengths,Exact_Wavelengths_of_AOD(um)_1640nm,Exact_Wavelengths_of_AOD(um)_1020nm,Exact_Wavelengths_of_AOD(um)_870nm,Exact_Wavelengths_of_AOD(um)_865nm,Exact_Wavelengths_of_AOD(um)_779nm,Exact_Wavelengths_of_AOD(um)_675nm,Exact_Wavelengths_of_AOD(um)_667nm,Exact_Wavelengths_of_AOD(um)_620nm,Exact_Wavelengths_of_AOD(um)_560nm,Exact_Wavelengths_of_AOD(um)_555nm,Exact_Wavelengths_of_AOD(um)_551nm,Exact_Wavelengths_of_AOD(um)_532nm,Exact_Wavelengths_of_AOD(um)_531nm,Exact_Wavelengths_of_AOD(um)_510nm,Exact_Wavelengths_of_AOD(um)_500nm,Exact_Wavelengths_of_AOD(um)_490nm,Exact_Wavelengths_of_AOD(um)_443nm,Exact_Wavelengths_of_AOD(um)_440nm,Exact_Wavelengths_of_AOD(um)_412nm,Exact_Wavelengths_of_AOD(um)_400nm,Exact_Wavelengths_of_AOD(um)_380nm,Exact_Wavelengths_of_AOD(um)_340nm,Exact_Wavelengths_of_PW(um)_935nm,Exact_Wavelengths_of_AOD(um)_681nm,Exact_Wavelengths_of_AOD(um)_709nm,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty,Exact_Wavelengths_of_AOD(um)_Empty
SERC,14:01:2024,21:03:14,14,14.877245,0.008556,0.019512,0.022050,-999.000000,-999.000000,0.033947,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.050236,-999.000000,-999.000000,0.059972,-999.000000,-999.000000,0.071909,0.080124,0.504720,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000289,0.000457,0.000911,-999.000000,-999.000000,0.001417,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.003131,-999.000000,-999.000000,0.003320,-999.000000,-999.000000,0.005904,0.008606,0.016128,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.448786,1.310057,1.324217,1.483436,1.149698,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,80.281735,5.736148,5.500000,317.090085,0.450143,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,14:01:2024,21:08:02,14,14.880579,0.007633,0.017601,0.019558,-999.000000,-999.000000,0.029803,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.043142,-999.000000,-999.000000,0.051459,-999.000000,-999.000000,0.061577,0.068541,0.487386,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000316,0.000465,0.000064,-999.000000,-999.000000,0.000046,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000257,-999.000000,-999.000000,0.000303,-999.000000,-999.000000,0.000167,0.000882,0.003672,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.395881,1.299445,1.267242,1.424648,1.137633,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,81.018618,6.169324,5.600000,317.092557,0.450139,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,14:01:2024,21:10:49,14,14.882512,0.007819,0.017906,0.020153,-999.000000,-999.000000,0.030444,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.043851,-999.000000,-999.000000,0.052182,-999.000000,-999.000000,0.063225,0.070224,0.495321,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000152,0.000247,0.000800,-999.000000,-999.000000,0.001244,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.001510,-999.000000,-999.000000,0.002218,-999.000000,-999.000000,0.002559,0.003925,0.006760,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.373101,1.337398,1.250264,1.400107,1.180622,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,81.449132,6.453416,5.700000,317.093991,0.450136,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:18:03,17,17.554201,0.005805,0.016670,0.018760,-999.000000,-999.000000,0.032530,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.045671,-999.000000,-999.000000,0.053636,-999.000000,-999.000000,0.061154,0.067981,0.235206,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000210,0.000320,0.000385,-999.000000,-999.000000,0.000302,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000381,-999.000000,-999.000000,0.000716,-999.000000,-999.000000,0.000857,0.000946,0.003676,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.496307,1.064203,1.160630,1.594682,0.934420,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,81.478261,6.473564,-7.000000,318.124547,0.450239,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:21:53,17,17.556863,0.005792,0.016829,0.018478,-999.000000,-999.000000,0.032344,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.045141,-999.000000,-999.000000,0.053228,-999.000000,-999.000000,0.060331,0.067942,0.235711,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000259,0.000435,0.000343,-999.000000,-999.000000,0.000467,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000631,-999.000000,-999.000000,0.001089,-999.000000,-999.000000,0.001326,0.001090,0.001992,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.502856,1.056682,1.153530,1.600197,0.958731,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,80.879293,6.082565,-6.700000,318.125530,0.450240,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:23:52,17,17.558241,0.005675,0.016698,0.018214,-999.000000,-999.000000,0.032094,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.044645,-999.000000,-999.000000,0.052571,-999.000000,-999.000000,0.059440,0.066519,0.236232,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000230,0.000157,0.000198,-999.000000,-999.000000,0.000242,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000129,-999.000000,-999.000000,0.000467,-999.000000,-999.000000,0.000811,0.000541,0.001498,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.504397,1.042634,1.142596,1.605769,0.925106,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,80.571095,5.898910,-6.500000,318.126039,0.450240,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:26:51,17,17.560312,0.005760,0.016755,0.018285,-999.000000,-999.000000,0.032317,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.045198,-999.000000,-999.000000,0.053419,-999.000000,-999.000000,0.060428,0.067933,0.235491,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000218,0.000162,0.000149,-999.000000,-999.000000,0.000166,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000346,-999.000000,-999.000000,0.000520,-999.000000,-999.000000,0.000994,0.000264,0.003133,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.521778,1.057664,1.163177,1.620966,0.944106,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,80.109789,5.643559,-6.500000,318.126804,0.450240,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:31:53,17,17.563808,0.005201,0.016046,0.017377,-999.000000,-999.000000,0.031400,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.043739,-999.000000,-999.000000,0.051575,-999.000000,-999.000000,0.057770,0.065057,0.234719,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000330,0.000293,0.000248,-999.000000,-999.000000,0.000215,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000170,-999.000000,-999.000000,0.000168,-999.000000,-999.000000,0.000188,0.000221,0.003039,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.541570,1.012781,1.148658,1.652458,0.910140,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,79.338009,5.261954,-6.300000,318.128095,0.450240,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:33:51,17,17.565174,0.005023,0.016109,0.017355,-999.000000,-999.000000,0.031449,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.043844,-999.000000,-999.000000,0.052033,-999.000000,-999.000000,0.058140,0.065546,0.237202,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000304,0.000465,0.000262,-999.000000,-999.000000,0.000209,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000141,-999.000000,-999.000000,0.000361,-999.000000,-999.000000,0.000460,0.000629,0.000705,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.553840,1.026712,1.163169,1.658942,0.904205,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,79.038765,5.127419,-6.000000,318.128600,0.450240,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
SERC,17:01:2024,13:36:53,17,17.567280,0.004699,0.015590,0.016617,-999.000000,-999.000000,0.030667,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.042727,-999.000000,-999.000000,0.050551,-999.000000,-999.000000,0.056253,0.063519,0.236263,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000401,0.000268,0.000091,-999.000000,-999.000000,0.000135,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,0.000504,-999.000000,-999.000000,0.000529,-999.000000,-999.000000,0.000452,0.000985,0.000437,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,-999.000000,1.573509,1.000389,1.155631,1.689866,0.893330,-999.000000,lev15,863,SERC,38.888901,-76.555795,36.500000,78.579863,4.933906,-5.900000,318.129378,0.450241,05:06:2024,9,1.639100,1.019100,0.869500,-999.,-999.,0.674500,-999.,-999.,-999.,-999.,-999.,-999.,-999.,-999.,0.500100,-999.,-999.,0.439300,-999.,-999.,0.380400,0.341000,0.936400,-999.,-999.,-999.,-999.,-999.,-999.,-999.
